CMDLINE /home/anthony/anaconda3/envs/thesis/bin/python3.10 test-profiler.py
MEM 0.632812 1664875760.3323
MEM 29.703125 1664875760.4326
MEM 47.371094 1664875760.5328
MEM 72.367188 1664875760.6330
MEM 86.562500 1664875760.7333
MEM 98.226562 1664875760.8335
MEM 113.773438 1664875760.9338
MEM 124.097656 1664875761.0340
MEM 143.695312 1664875761.1343
MEM 148.863281 1664875761.2345
MEM 160.093750 1664875761.3348
MEM 165.691406 1664875761.4350
MEM 176.843750 1664875761.5353
MEM 177.617188 1664875761.6355
MEM 177.617188 1664875761.7357
MEM 177.617188 1664875761.8360
MEM 177.617188 1664875761.9362
MEM 177.617188 1664875762.0365
MEM 177.617188 1664875762.1367
MEM 177.617188 1664875762.2369
MEM 177.617188 1664875762.3371
MEM 177.617188 1664875762.4373
MEM 177.617188 1664875762.5376
MEM 178.375000 1664875762.6378
MEM 178.375000 1664875762.7381
MEM 178.890625 1664875762.8383
MEM 178.890625 1664875762.9385
MEM 178.890625 1664875763.0387
MEM 178.890625 1664875763.1389
MEM 178.890625 1664875763.2391
MEM 178.890625 1664875763.3393
MEM 178.890625 1664875763.4395
MEM 179.261719 1664875763.5397
MEM 193.800781 1664875763.6400
MEM 223.367188 1664875763.7403
MEM 231.523438 1664875763.8407
MEM 232.296875 1664875763.9413
MEM 233.070312 1664875764.0419
MEM 235.648438 1664875764.1421
MEM 239.664062 1664875764.2424
MEM 241.210938 1664875764.3426
MEM 241.984375 1664875764.4429
MEM 241.984375 1664875764.5432
MEM 242.402344 1664875764.6434
MEM 242.402344 1664875764.7436
MEM 299.066406 1664875764.8439
MEM 392.078125 1664875764.9442
MEM 518.402344 1664875765.0445
MEM 439.503906 1664875765.1448
MEM 613.093750 1664875765.2451
MEM 427.562500 1664875765.3454
MEM 466.136719 1664875765.4458
MEM 786.820312 1664875765.5461
MEM 537.273438 1664875765.6464
MEM 674.343750 1664875765.7466
MEM 885.699219 1664875765.8469
MEM 635.382812 1664875765.9472
MEM 753.187500 1664875766.0475
MEM 984.535156 1664875766.1478
MEM 737.050781 1664875766.2481
MEM 877.683594 1664875766.3484
MEM 937.257812 1664875766.4487
MEM 842.031250 1664875766.5490
MEM 1016.632812 1664875766.6493
MEM 1107.289062 1664875766.7497
MEM 959.074219 1664875766.8500
MEM 1077.160156 1664875766.9503
MEM 1114.789062 1664875767.0507
MEM 1137.597656 1664875767.1511
MEM 1320.921875 1664875767.2514
MEM 1120.816406 1664875767.3517
MEM 1204.035156 1664875767.4521
MEM 1476.500000 1664875767.5524
MEM 1226.953125 1664875767.6527
MEM 1369.781250 1664875767.7530
MEM 1500.875000 1664875767.8534
MEM 1344.925781 1664875767.9537
MEM 1426.933594 1664875768.0539
MEM 1652.800781 1664875768.1542
MEM 1416.902344 1664875768.2545
MEM 1483.199219 1664875768.3548
MEM 1625.375000 1664875768.4551
MEM 1633.414062 1664875768.5554
MEM 1683.031250 1664875768.6556
MEM 1673.894531 1664875768.7560
MEM 1514.527344 1664875768.8562
MEM 1598.371094 1664875768.9565
MEM 1708.625000 1664875769.0568
MEM 1718.679688 1664875769.1571
MEM 1797.570312 1664875769.2574
MEM 1543.933594 1664875769.3577
MEM 1611.164062 1664875769.4581
MEM 1802.023438 1664875769.5585
MEM 1830.066406 1664875769.6588
MEM 1776.144531 1664875769.7591
MEM 1702.171875 1664875769.8594
MEM 1815.464844 1664875769.9596
MEM 1883.558594 1664875770.0599
MEM 1893.351562 1664875770.1602
MEM 1643.589844 1664875770.2605
MEM 1688.707031 1664875770.3608
MEM 1809.328125 1664875770.4611
MEM 1797.652344 1664875770.5614
MEM 1656.738281 1664875770.6617
MEM 1748.261719 1664875770.7621
MEM 1839.464844 1664875770.8623
MEM 1851.503906 1664875770.9626
MEM 1749.652344 1664875771.0631
MEM 1649.261719 1664875771.1634
MEM 1721.707031 1664875771.2637
MEM 1896.597656 1664875771.3640
MEM 1646.683594 1664875771.4643
MEM 1748.734375 1664875771.5646
MEM 1847.652344 1664875771.6649
MEM 1859.492188 1664875771.7652
MEM 1896.617188 1664875771.8656
MEM 1641.605469 1664875771.9659
MEM 1692.867188 1664875772.0662
MEM 1888.367188 1664875772.1665
MEM 1822.566406 1664875772.2669
MEM 1668.679688 1664875772.3672
MEM 1682.171875 1664875772.4675
MEM 1822.570312 1664875772.5678
MEM 1668.679688 1664875772.6681
MEM 1696.171875 1664875772.7684
MEM 1751.398438 1664875772.8687
MEM 1711.476562 1664875772.9690
MEM 1815.546875 1664875773.0693
MEM 1634.648438 1664875773.1695
MEM 1624.855469 1664875773.2699
MEM 1891.656250 1664875773.3703
