CMDLINE /home/anthony/anaconda3/envs/thesis/bin/python3.10 test-profiler.py
MEM 0.601562 1664877297.7054
MEM 29.851562 1664877297.8056
MEM 46.925781 1664877297.9059
MEM 72.433594 1664877298.0061
MEM 86.578125 1664877298.1064
MEM 98.652344 1664877298.2066
MEM 114.515625 1664877298.3069
MEM 124.605469 1664877298.4071
MEM 144.332031 1664877298.5073
MEM 148.175781 1664877298.6076
MEM 159.691406 1664877298.7078
MEM 162.527344 1664877298.8081
MEM 177.031250 1664877298.9083
MEM 178.062500 1664877299.0086
MEM 178.062500 1664877299.1089
MEM 178.062500 1664877299.2091
MEM 178.062500 1664877299.3093
MEM 178.062500 1664877299.4096
MEM 178.062500 1664877299.5098
MEM 178.062500 1664877299.6101
MEM 178.062500 1664877299.7103
MEM 178.796875 1664877299.8106
MEM 178.796875 1664877299.9108
MEM 178.796875 1664877300.0110
MEM 178.796875 1664877300.1113
MEM 178.796875 1664877300.2115
MEM 179.312500 1664877300.3117
MEM 179.312500 1664877300.4120
MEM 179.312500 1664877300.5122
MEM 179.312500 1664877300.6124
MEM 179.312500 1664877300.7127
MEM 179.312500 1664877300.8128
MEM 179.703125 1664877300.9131
MEM 179.703125 1664877301.0133
MEM 208.925781 1664877301.1136
MEM 228.769531 1664877301.2139
MEM 234.250000 1664877301.3142
MEM 237.859375 1664877301.4144
MEM 239.921875 1664877301.5148
MEM 240.695312 1664877301.6151
MEM 243.273438 1664877301.7154
MEM 243.273438 1664877301.8156
MEM 244.074219 1664877301.9159
MEM 244.074219 1664877302.0161
MEM 244.074219 1664877302.1164
MEM 244.074219 1664877302.2167
MEM 244.074219 1664877302.3169
MEM 244.074219 1664877302.4172
MEM 244.074219 1664877302.5174
MEM 246.312500 1664877302.6177
MEM 246.312500 1664877302.7180
MEM 246.312500 1664877302.8182
MEM 279.277344 1664877302.9185
MEM 458.671875 1664877303.0188
MEM 432.667969 1664877303.1191
MEM 410.164062 1664877303.2193
MEM 581.371094 1664877303.3197
MEM 434.398438 1664877303.4199
MEM 539.046875 1664877303.5202
MEM 691.132812 1664877303.6205
MEM 547.742188 1664877303.7208
MEM 722.445312 1664877303.8211
MEM 814.093750 1664877303.9214
MEM 685.406250 1664877304.0217
MEM 840.691406 1664877304.1221
MEM 727.804688 1664877304.2223
MEM 817.210938 1664877304.3226
MEM 1085.191406 1664877304.4230
MEM 839.578125 1664877304.5232
MEM 1005.484375 1664877304.6235
MEM 1109.589844 1664877304.7238
MEM 959.503906 1664877304.8241
MEM 1058.367188 1664877304.9245
MEM 1019.644531 1664877305.0247
MEM 1153.062500 1664877305.1250
MEM 1374.589844 1664877305.2254
MEM 1132.914062 1664877305.3256
MEM 1274.214844 1664877305.4259
MEM 1381.562500 1664877305.5263
MEM 1245.335938 1664877305.6266
MEM 1427.566406 1664877305.7269
MEM 1472.468750 1664877305.8272
MEM 1417.234375 1664877305.9275
MEM 1606.144531 1664877306.0278
MEM 1420.730469 1664877306.1281
MEM 1530.714844 1664877306.2284
MEM 1695.070312 1664877306.3287
MEM 1580.812500 1664877306.4290
MEM 1550.578125 1664877306.5293
MEM 1639.687500 1664877306.6296
