CMDLINE /home/anthony/anaconda3/envs/thesis/bin/python3.10 test-profiler.py
MEM 0.671875 1664878888.9778
MEM 28.628906 1664878889.0781
MEM 47.175781 1664878889.1783
MEM 74.253906 1664878889.2786
MEM 88.089844 1664878889.3788
MEM 106.742188 1664878889.4791
MEM 120.531250 1664878889.5793
MEM 140.324219 1664878889.6796
MEM 148.898438 1664878889.7798
MEM 160.972656 1664878889.8801
MEM 168.750000 1664878889.9803
MEM 177.781250 1664878890.0806
MEM 178.296875 1664878890.1808
MEM 178.296875 1664878890.2811
MEM 178.554688 1664878890.3813
