CMDLINE /home/anthony/anaconda3/envs/thesis/bin/python3.10 test-profiler.py
MEM 0.570312 1664878913.5490
MEM 29.023438 1664878913.6493
MEM 48.625000 1664878913.7495
MEM 74.664062 1664878913.8498
MEM 88.433594 1664878913.9500
MEM 106.699219 1664878914.0503
MEM 120.347656 1664878914.1505
MEM 139.558594 1664878914.2508
MEM 147.812500 1664878914.3510
MEM 160.714844 1664878914.4513
MEM 166.140625 1664878914.5516
MEM 177.554688 1664878914.6518
MEM 178.070312 1664878914.7520
MEM 178.070312 1664878914.8522
MEM 178.070312 1664878914.9525
MEM 178.070312 1664878915.0527
MEM 179.882812 1664878915.1530
MEM 183.234375 1664878915.2532
MEM 204.230469 1664878915.3535
MEM 208.066406 1664878915.4537
MEM 208.066406 1664878915.5540
MEM 208.066406 1664878915.6542
MEM 208.839844 1664878915.7544
MEM 208.839844 1664878915.8547
MEM 209.097656 1664878915.9549
MEM 209.097656 1664878916.0552
MEM 209.097656 1664878916.1554
MEM 209.097656 1664878916.2556
MEM 209.097656 1664878916.3559
MEM 209.355469 1664878916.4561
MEM 209.355469 1664878916.5564
MEM 209.355469 1664878916.6566
MEM 212.003906 1664878916.7568
MEM 212.003906 1664878916.8571
MEM 212.257812 1664878916.9573
MEM 212.257812 1664878917.0576
MEM 212.257812 1664878917.1578
MEM 212.515625 1664878917.2580
MEM 212.515625 1664878917.3583
MEM 212.515625 1664878917.4585
MEM 212.515625 1664878917.5588
MEM 212.515625 1664878917.6590
MEM 212.773438 1664878917.7592
MEM 212.773438 1664878917.8595
MEM 213.031250 1664878917.9597
MEM 213.031250 1664878918.0600
MEM 213.031250 1664878918.1602
MEM 213.031250 1664878918.2605
MEM 213.031250 1664878918.3607
MEM 213.289062 1664878918.4610
MEM 213.289062 1664878918.5612
MEM 213.289062 1664878918.6615
MEM 213.289062 1664878918.7617
MEM 213.289062 1664878918.8620
MEM 213.546875 1664878918.9622
MEM 213.546875 1664878919.0625
MEM 213.804688 1664878919.1627
MEM 213.804688 1664878919.2630
MEM 213.804688 1664878919.3632
MEM 214.062500 1664878919.4634
MEM 214.062500 1664878919.5636
MEM 214.062500 1664878919.6639
MEM 214.062500 1664878919.7641
MEM 214.062500 1664878919.8643
MEM 214.320312 1664878919.9646
MEM 214.320312 1664878920.0649
MEM 214.320312 1664878920.1651
MEM 214.320312 1664878920.2654
MEM 214.320312 1664878920.3656
MEM 214.578125 1664878920.4658
MEM 214.578125 1664878920.5661
MEM 214.835938 1664878920.6664
MEM 214.835938 1664878920.7666
MEM 214.835938 1664878920.8668
MEM 214.835938 1664878920.9671
MEM 214.835938 1664878921.0674
MEM 215.093750 1664878921.1676
MEM 215.093750 1664878921.2679
MEM 215.093750 1664878921.3682
MEM 215.351562 1664878921.4684
MEM 215.351562 1664878921.5686
MEM 215.351562 1664878921.6689
MEM 215.351562 1664878921.7691
MEM 215.351562 1664878921.8693
MEM 215.609375 1664878921.9696
MEM 215.609375 1664878922.0698
MEM 215.867188 1664878922.1701
MEM 215.867188 1664878922.2703
MEM 215.867188 1664878922.3706
MEM 215.867188 1664878922.4708
MEM 215.867188 1664878922.5711
MEM 216.125000 1664878922.6714
MEM 216.125000 1664878922.7716
MEM 216.125000 1664878922.8718
MEM 216.382812 1664878922.9721
MEM 216.382812 1664878923.0723
MEM 216.382812 1664878923.1726
MEM 216.382812 1664878923.2728
MEM 216.640625 1664878923.3730
MEM 216.640625 1664878923.4733
MEM 216.640625 1664878923.5735
MEM 216.898438 1664878923.6738
MEM 216.898438 1664878923.7740
MEM 216.898438 1664878923.8743
MEM 216.898438 1664878923.9745
MEM 216.898438 1664878924.0748
MEM 217.156250 1664878924.1751
MEM 217.156250 1664878924.2753
MEM 217.414062 1664878924.3756
MEM 217.414062 1664878924.4759
MEM 217.414062 1664878924.5761
MEM 217.414062 1664878924.6763
MEM 217.414062 1664878924.7766
MEM 217.671875 1664878924.8768
MEM 217.671875 1664878924.9771
MEM 217.671875 1664878925.0774
MEM 264.855469 1664878925.1777
MEM 396.082031 1664878925.2780
MEM 466.464844 1664878925.3782
MEM 472.824219 1664878925.4785
MEM 469.933594 1664878925.5788
MEM 228.585938 1664878925.6791
MEM 228.605469 1664878925.7794
